query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,319,Bob,195,False,mapclosures_no_pose,megaloc,18.71879823299984,False,4,2,,
Alpha,326,Bob,233,False,mapclosures_no_pose,megaloc,25.15357302968859,False,3,0,,
Alpha,328,Alpha,153,False,mapclosures_no_pose,megaloc,23.369289305383315,False,9,2,,
Alpha,331,Carol,168,False,mapclosures_no_pose,megaloc,30.663189579645778,False,2,0,,
Alpha,332,Bob,254,False,mapclosures_no_pose,megaloc,11.737736679087003,False,14,4,,
Alpha,333,Alpha,153,False,mapclosures_no_pose,megaloc,26.438688483078078,False,1,0,,
Alpha,335,Bob,259,True,accepted,megaloc,9.53803471148597,True,33,8,0.285574392970344,0.5274809160305344
Alpha,349,Bob,277,True,accepted,mapclosures,19.518737925457238,False,7,6,0.3052872416748996,0.49203382287494435
Alpha,353,Bob,270,True,accepted,mapclosures,17.18056190225591,False,7,6,0.3131566547095822,0.43085413063174366
Alpha,362,Carol,450,True,accepted,mapclosures,16.692289807280094,False,6,6,0.31610424902915574,0.3774108322324967
Alpha,369,Carol,450,True,accepted,mapclosures,15.002760094830537,False,13,12,0.3115616817520076,0.4082562747688243
Alpha,369,Carol,463,True,accepted,megaloc,19.30489798911496,False,28,21,0.3121412949360564,0.3668391229366839
Alpha,370,Bob,309,True,accepted,mapclosures,14.543692520189747,False,6,6,0.3034685191387173,0.5301944728761515
Alpha,371,Bob,267,True,accepted,megaloc,20.61446501004386,False,20,9,0.2908509011119241,0.4682296231375986
Alpha,373,Carol,458,True,accepted,mapclosures,14.305976829461148,False,6,6,0.3237870447528226,0.3671006121217346
Alpha,374,Bob,320,True,accepted,mapclosures,6.9440031372763045,True,7,7,0.3078670814197154,0.6695652173913044
Alpha,374,Carol,460,True,accepted,megaloc,14.619084902394741,False,15,8,0.32318903488729767,0.35096515417397844
Alpha,375,Bob,243,False,mapclosures_no_pose,megaloc,34.8463752993969,False,12,4,,
Alpha,378,Carol,470,True,accepted,mapclosures,13.187983627880618,False,12,8,0.3202671328556553,0.3483923483923484
Alpha,381,Bob,319,True,accepted,mapclosures,5.3904023401412955,True,11,8,0.2985025478473711,0.6963279857397504
Alpha,384,Bob,319,True,accepted,megaloc,4.389475241955757,True,21,16,0.2992503768111011,0.7083065953654188
Alpha,385,Carol,477,True,accepted,mapclosures,11.858925666140342,False,9,8,0.3247020522989787,0.3872832369942196
Alpha,386,Bob,319,True,accepted,mapclosures,3.188505125732138,True,11,11,0.2939602991065288,0.7623529411764706
Alpha,387,Bob,318,True,accepted,megaloc+mapclosures,2.739872967057186,True,12,10,0.2974254568983788,0.7584685560457638
Alpha,388,Carol,456,True,accepted,mapclosures,16.058887753091987,False,9,8,0.32002130812480606,0.4154331260401156
Alpha,389,Bob,319,True,accepted,megaloc+mapclosures,2.3469804735780824,True,10,9,0.3019106876895642,0.7724064171122995
Alpha,390,Alpha,343,True,accepted,mapclosures,18.24344093689274,False,13,6,0.28982343589253523,0.583501168130186
Alpha,390,Bob,321,True,accepted,megaloc+mapclosures,2.23810661903064,True,8,8,0.3080311805988284,0.7261467889908257
Alpha,391,Bob,321,True,accepted,megaloc+mapclosures,1.9786200953054467,True,21,21,0.312101088255682,0.6670642201834862
Alpha,392,Bob,325,True,accepted,megaloc,1.9239006354886645,True,27,22,0.2633712603056664,0.39549060542797493
Alpha,392,Carol,497,True,accepted,mapclosures,20.611717759378696,False,8,7,0.32848577919612754,0.3222114764667956
Alpha,393,Bob,322,True,accepted,megaloc+mapclosures,1.9808475686153428,True,17,12,0.3062233451205487,0.6675780208055482
Alpha,393,Bob,326,True,accepted,megaloc,1.9792897247220802,True,35,20,0.26885880830801584,0.4026905829596413
Alpha,394,Bob,323,True,accepted,megaloc+mapclosures,1.9820923637787378,True,11,10,0.29331219599039055,0.6594831362242664
Alpha,394,Bob,327,True,accepted,megaloc,1.9823760626289488,True,24,17,0.2822360321129337,0.4247464503042596
