query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,98,Carol,93,False,high_rmse,megaloc,8.869104302452005,True,34,21,0.35422919997669416,0.49676491732566497
Alpha,99,Bob,100,True,accepted,megaloc+mapclosures,9.112536271226992,True,12,9,0.34920426372879704,0.6013346680013346
Alpha,100,Bob,103,True,accepted,megaloc,6.955227352567781,True,39,15,0.34116344992185016,0.6073038773669973
Alpha,100,Carol,96,True,accepted,megaloc+mapclosures,7.910008115090563,True,15,8,0.3490279896422908,0.5095857026807473
Alpha,101,Carol,97,False,high_rmse,megaloc,7.912319039613646,True,40,16,0.35011082515457975,0.5168819982773472
Alpha,102,Bob,100,True,accepted,megaloc+mapclosures,12.316560193359974,False,9,6,0.34887164230097106,0.5655655655655656
Alpha,103,Carol,97,False,high_rmse,megaloc+mapclosures,9.898858284698669,True,10,6,0.3519372477309309,0.4878552971576227
Alpha,103,Bob,103,True,accepted,megaloc,10.13780384403605,False,33,16,0.34565275055276945,0.5692515779981966
Alpha,104,Carol,100,True,accepted,megaloc,7.90916314289555,True,40,14,0.3347033656669784,0.4925947140168562
Alpha,105,Bob,108,True,accepted,megaloc+mapclosures,6.922761344082697,True,10,7,0.32736581560865274,0.6590592450076296
Alpha,106,Bob,109,True,accepted,megaloc,6.923234900371145,True,60,35,0.3357556592583715,0.6572327044025157
Alpha,106,Carol,101,True,accepted,megaloc+mapclosures,8.899723002804198,True,14,7,0.3478849471219513,0.5134619784913431
Alpha,107,Carol,100,True,accepted,megaloc,10.913064838272351,False,26,14,0.3497495382667681,0.4714835119875624
Alpha,108,Bob,110,True,accepted,megaloc+mapclosures,7.989158752077368,True,11,7,0.3209279575645768,0.581702838063439
Alpha,109,Bob,110,True,accepted,megaloc,9.062915448081203,True,33,18,0.34734403669809977,0.5671452420701169
Alpha,110,Carol,105,True,accepted,megaloc,8.934895365444827,True,34,12,0.3474957373665792,0.4738042625989023
Alpha,111,Bob,114,True,accepted,megaloc+mapclosures,6.907410664589327,True,10,7,0.3155621763459807,0.5923544375353307
Alpha,112,Bob,114,True,accepted,megaloc,7.98243300018427,True,35,15,0.3196830671093278,0.5721452798191068
Alpha,112,Carol,108,True,accepted,megaloc+mapclosures,7.9799419641904095,True,11,6,0.3272474569712889,0.47592668581589387
