sequence,i,j,i_stamp_ns,j_stamp_ns,branch,inter_robot,measured_distance_m,gt_distance_m,distance_error_m,distance_flag,rmse_m,overlap,native_inliers,acceptance_gate_violations,cycle_neighbours,cycle_inconsistent_neighbours,cycle_eligible,cycle_flag,cycle_translation_median_m,cycle_rotation_median_deg
Library 1,Alpha:15,Carol:477,1660900402365000000,1660900824031000000,mapclosures+megaloc,True,2.3906423004616264,,,,0.340796021970969,0.6733116354759967,6,,3,0,True,False,0.034165877545118246,0.14281715510009826
Library 1,Alpha:16,Alpha:483,,1660900820871000000,mapclosures+megaloc,False,1.385507589836617,,,,0.26344573796647525,0.9084004602991945,10,,0,0,False,,,
Library 1,Alpha:16,Alpha:486,,1660900826871000000,megaloc,False,2.0952443395655176,,,,0.33764637133257946,0.5575757575757576,6,,0,0,False,,,
Library 1,Alpha:16,Bob:20,,1660900408418000000,mapclosures,True,2.697592663041797,,,,0.30611709008042803,0.7749136939010357,16,,0,0,False,,,
Library 1,Alpha:16,Carol:20,,1660900407927000000,mapclosures,True,2.1711905668250213,2.542581000990157,0.37139043416513573,False,0.33532055574481584,0.6715254237288135,16,,0,0,False,,,
Library 1,Alpha:17,Bob:14,1660900404165000000,1660900403119000000,mapclosures,True,6.208409625008715,,,,0.32807494545220106,0.673936170212766,6,,9,0,True,False,0.10775381887378349,0.32754128507524766
Library 1,Alpha:17,Bob:19,1660900404165000000,1660900407519000000,mapclosures+megaloc,True,2.1750601591943974,,,,0.3095510178938628,0.7862694300518135,11,,9,0,True,False,0.07162262277296783,0.48852718845205884
Library 1,Alpha:17,Carol:477,1660900404165000000,1660900824031000000,mapclosures+megaloc,True,2.1868262804285727,,,,0.34037281788198476,0.6540276647681041,7,,3,0,True,False,0.04201857640501287,0.150483537925103
Library 1,Alpha:18,Alpha:484,1660900405065000000,1660900822871000000,mapclosures+megaloc,False,0.5358018661486788,,,,0.2737402793763756,0.9033899573449076,11,,0,0,False,,,
Library 1,Alpha:18,Alpha:485,1660900405065000000,1660900824871000000,mapclosures+megaloc,False,0.5224174210408379,,,,0.2959290586440988,0.8137394297687645,11,,0,0,False,,,
Library 1,Alpha:18,Carol:17,1660900405065000000,1660900404927000000,mapclosures,True,6.4689950486959935,7.771011485477759,1.3020164367817655,False,0.32520962444342894,0.5749498423617082,6,,8,0,True,False,0.08529035272407332,0.36573416224209865
Library 1,Alpha:18,Carol:25,1660900405065000000,1660900412827000000,mapclosures,True,2.724349587484094,0.7426087969547226,1.9817407905293714,False,0.3391866233438319,0.6674495476687543,11,,9,0,True,False,0.049248901614267114,0.36112524570510396
Library 1,Alpha:18,Carol:480,1660900405065000000,1660900829031000000,mapclosures,True,2.0797564979578644,,,,0.32397958537826793,0.7153495075666586,8,,3,0,True,False,0.04201857640501287,0.150483537925103
Library 1,Alpha:19,Carol:18,1660900405965000000,1660900405927000000,megaloc,True,6.525844288805613,7.847493534835285,1.3216492460296712,False,0.32439424629777,0.5822021116138764,10,,9,0,True,False,0.057080162953364565,0.47638209796004816
Library 1,Alpha:19,Carol:22,1660900405965000000,1660900409827000000,mapclosures+megaloc,True,2.79334608402371,3.7474011307862285,0.9540550467625186,False,0.33523537037799084,0.6707506471095772,12,,9,0,True,False,0.057080162953364565,0.36112524570510396
Library 1,Alpha:19,Carol:474,1660900405965000000,1660900821431000000,megaloc,True,6.612257592783585,,,,0.3389500213433153,0.5431130286984376,17,,3,0,True,False,0.07472403555028395,0.6520797036303969
Library 1,Alpha:20,Bob:18,1660900406865000000,,mapclosures,True,5.226236672178811,,,,0.31711883496284293,0.7140174278846154,12,,0,0,False,,,
Library 1,Alpha:20,Bob:25,1660900406865000000,1660900412619000000,mapclosures+megaloc,True,3.2636786641935136,,,,0.29370110221368817,0.7882592466915507,6,,7,0,True,False,0.054135239122148994,0.32754128507524766
Library 1,Alpha:21,Bob:23,,1660900410918000000,mapclosures,True,1.8735511630238684,,,,0.29683379193631937,0.8041937605026668,24,,0,0,False,,,
Library 1,Alpha:21,Carol:24,,1660900411827000000,megaloc,True,2.742929751433426,3.8231790174310842,1.0802492659976584,False,0.3375827110733121,0.6848289668378449,14,,0,0,False,,,
Library 1,Alpha:21,Carol:26,,1660900413827000000,mapclosures+megaloc,True,1.5203802363085102,1.7872013612828546,0.2668211249743444,False,0.3360470658885201,0.6926601612218922,10,,0,0,False,,,
Library 1,Alpha:21,Carol:27,,1660900414827000000,mapclosures+megaloc,True,1.8167262431818987,0.9145245307099416,0.9022017124719571,False,0.33838101417460176,0.6916239316239317,14,,0,0,False,,,
Library 1,Alpha:23,Bob:21,1660900409565000000,,mapclosures,True,5.098178335102129,,,,0.30557192017626045,0.7062078751330259,6,,0,0,False,,,
Library 1,Alpha:23,Bob:28,1660900409565000000,1660900415319000000,mapclosures+megaloc,True,3.146152901412931,,,,0.29509848849355247,0.8132826011760637,10,,6,0,True,False,0.08496431918293756,0.38456087587053284
Library 1,Alpha:24,Bob:26,,1660900413519000000,mapclosures,True,1.8011888977888455,,,,0.2983791248454036,0.8410627689365481,22,,0,0,False,,,
Library 1,Alpha:24,Carol:29,,1660900416827000000,mapclosures+megaloc,True,1.7359389322288301,1.8532992966468878,0.11736036441805764,False,0.3390614868202687,0.73185211837726,15,,0,0,False,,,
Library 1,Alpha:25,Carol:31,,1660900418827000000,mapclosures,True,1.9354753061294163,0.8941444637119055,1.0413308424175107,False,0.3094882029292475,0.7598887730274592,11,,0,0,False,,,
Library 1,Alpha:27,Bob:25,1660900413165000000,1660900412619000000,mapclosures,True,5.33009273695146,,,,0.3170547226093064,0.7537437603993344,12,,8,0,True,False,0.08072447408358935,0.472582766244397
Library 1,Alpha:27,Carol:28,1660900413165000000,1660900415827000000,megaloc,True,4.894914452923165,,,,0.3448735563347075,0.6607094746295464,13,,9,0,True,False,0.0537501520797465,0.47638209796004816
Library 1,Alpha:27,Carol:30,1660900413165000000,1660900417827000000,mapclosures+megaloc,True,2.9865827979293678,,,,0.33801154685674323,0.6958607212648783,9,,10,0,True,False,0.06252617523019674,0.6479153024188482
Library 1,Alpha:27,Carol:32,1660900413165000000,1660900419827000000,mapclosures+megaloc,True,1.7828911841956983,,,,0.3368699083509321,0.706948109058927,10,,10,0,True,False,0.07645429732088738,0.599364406377727
Library 1,Alpha:28,Bob:29,,1660900416219000000,mapclosures,True,2.5399336398219194,,,,0.293815144919806,0.8330422633601118,22,,0,0,False,,,
Library 1,Alpha:29,Bob:31,,1660900418019000000,mapclosures+megaloc,True,1.9429732485089701,,,,0.296204895404982,0.8393004578548375,18,,0,0,False,,,
Library 1,Alpha:29,Bob:32,,1660900418919000000,mapclosures+megaloc,True,1.8475872464563452,,,,0.29779268561696937,0.8400454201362604,22,,0,0,False,,,
Library 1,Alpha:29,Carol:33,,1660900420827000000,mapclosures+megaloc,True,2.23151404888556,,,,0.3343026402030581,0.6866099340048628,16,,0,0,False,,,
Library 1,Alpha:30,Bob:28,1660900415865000000,1660900415319000000,mapclosures,True,5.365032995057693,,,,0.3244343507418868,0.7423728813559322,8,,9,0,True,False,0.0803082403452868,0.21237450789518206
Library 1,Alpha:30,Carol:39,1660900415865000000,1660900426127000000,mapclosures+megaloc,True,3.745296761988433,,,,0.33014836866906716,0.6536866359447004,12,,9,0,True,False,0.07206600991663092,0.46837318433871883
Library 1,Alpha:31,Carol:27,1660900416765000000,1660900414827000000,mapclosures,True,10.045723472746237,,,,0.3275981983372459,0.5579487179487179,7,,6,0,True,False,0.11546507854751012,0.5057308609310942
Library 1,Alpha:31,Carol:36,1660900416765000000,1660900423527000000,mapclosures,True,0.9838107320621327,,,,0.3309296861365163,0.6858959265363787,16,,11,0,True,False,0.09324964873146763,0.47091222346050043
Library 1,Alpha:32,Bob:35,,1660900421519000000,mapclosures,True,1.9398698982849487,,,,0.3001560666418968,0.8280644661397799,13,,0,0,False,,,
Library 1,Alpha:33,Bob:31,1660900418565000000,1660900418019000000,mapclosures+megaloc,True,5.393887365149518,,,,0.3211418292680637,0.7429257674697891,8,,10,0,True,False,0.07181261057451288,0.21725209753100547
Library 1,Alpha:33,Carol:39,1660900418565000000,1660900426127000000,megaloc,True,0.45205658620206435,,,,0.3302959712124431,0.6737327188940092,17,,11,0,True,False,0.07029337110587978,0.2830902777144294
Library 1,Alpha:34,Carol:29,1660900419465000000,1660900416827000000,mapclosures,True,11.240532414733313,,,,0.3404557054779901,0.5317081946568318,7,,9,0,True,False,0.19381644452297678,0.9802027326165498
Library 1,Alpha:35,Bob:34,,1660900420719000000,mapclosures+megaloc,True,4.4048084991039875,,,,0.3090878738331942,0.7561188811188811,12,,0,0,False,,,
Library 1,Alpha:35,Carol:42,,1660900428827000000,mapclosures+megaloc,True,1.5272662243473372,3.7286239299071915,2.2013577055598543,True,0.3186033618392459,0.7065421913446229,12,,0,0,False,,,
Library 1,Alpha:36,Bob:32,1660900421265000000,1660900418919000000,mapclosures,True,7.483686271073466,,,,0.30758607016296025,0.6764807758919293,7,,9,0,True,False,0.08222219584382741,0.21237450789518206
Library 1,Alpha:36,Bob:34,1660900421265000000,1660900420719000000,mapclosures+megaloc,True,5.38670708522717,,,,0.3080293978817577,0.7226186352615172,6,,12,0,True,False,0.05890848097789801,0.1593479657664682
Library 1,Alpha:36,Bob:40,1660900421265000000,1660900424818000000,mapclosures+megaloc,True,0.5722129240261076,,,,0.31953202454208457,0.8338643604915794,15,,13,0,True,False,0.0630711860522626,0.3842022080824101
Library 1,Alpha:36,Bob:42,1660900421265000000,1660900426518000000,mapclosures+megaloc,True,1.723261138681148,,,,0.29019939770160647,0.8433734939759037,17,,12,0,True,False,0.06304040752635214,0.39943154302994005
Library 1,Alpha:37,Bob:38,,1660900423818000000,mapclosures,True,2.7151716141783435,,,,0.29399665620028337,0.8096840659340659,15,,0,0,False,,,
Library 1,Alpha:37,Bob:43,,1660900427418000000,mapclosures+megaloc,True,1.7600885284788486,,,,0.29026740891859415,0.8503434065934066,14,,0,0,False,,,
Library 1,Alpha:38,Carol:35,1660900423065000000,1660900422627000000,mapclosures,True,9.2057420165079,10.623022110031105,1.417280093523205,False,0.3134882911558495,0.6148454921949665,7,,14,0,True,False,0.11731758437289416,0.4586782352774045
Library 1,Alpha:38,Carol:45,1660900423065000000,1660900431527000000,mapclosures+megaloc,True,1.5855050185397908,,,,0.31830395200774914,0.7256959952359684,13,,8,0,True,False,0.06456169367997258,0.2886580566414818
Library 1,Alpha:39,Bob:38,1660900423965000000,1660900423818000000,mapclosures,True,4.876800187988395,,,,0.29756722160620347,0.7821810005621136,10,,13,0,True,False,0.051223948131685626,0.14720751431447285
Library 1,Alpha:39,Carol:45,1660900423965000000,1660900431527000000,mapclosures+megaloc,True,0.5790264987874191,,,,0.3176785242814987,0.7262170611880304,20,,8,0,True,False,0.05966534107949635,0.242413868138468
Library 1,Alpha:40,Bob:40,1660900424865000000,1660900424818000000,mapclosures+megaloc,True,4.777735209164627,,,,0.29716942100771215,0.7876194811106054,9,,14,0,True,False,0.05457672323077842,0.13561285038561155
Library 1,Alpha:40,Bob:45,1660900424865000000,1660900429218000000,mapclosures+megaloc,True,0.9129512607816629,,,,0.27952399949871565,0.860145125958379,22,,12,0,True,False,0.04997573742790739,0.21781744680419587
Library 1,Alpha:40,Carol:42,1660900424865000000,1660900428827000000,mapclosures+megaloc,True,3.954319919603148,6.06962538118152,2.115305461578372,True,0.32021666774157515,0.7091474887827471,15,,9,0,True,False,0.07206600991663092,0.20912179513389315
Library 1,Alpha:41,Bob:46,,1660900430118000000,mapclosures+megaloc,True,0.9447448779491014,,,,0.2833389395055442,0.8453191648581905,17,,0,0,False,,,
Library 1,Alpha:42,Bob:34,1660900426665000000,1660900420719000000,mapclosures,True,11.767053847344027,,,,0.3338980132051095,0.5812896011926948,9,,11,0,True,False,0.1065206250920182,0.4018639729676919
Library 1,Alpha:42,Bob:48,1660900426665000000,1660900431918000000,mapclosures+megaloc,True,1.7891841097928793,,,,0.26800783279693835,0.7834368530020704,19,,10,0,True,False,0.04086323877543588,0.18337630813992534
Library 1,Alpha:42,Carol:48,1660900426665000000,1660900434227000000,mapclosures+megaloc,True,0.6676341181782499,,,,0.33606417151770274,0.6355099931082012,18,,7,0,True,False,0.054804136654252766,0.21973600110398747
Library 1,Alpha:43,Carol:30,1660900427565000000,1660900417827000000,mapclosures,True,19.988647348091334,21.373999336949414,1.3853519888580799,False,0.3364343478661924,0.43862142476461186,8,,4,0,True,False,0.13175040488143216,0.4966869085713128
Library 1,Alpha:45,Bob:45,1660900429365000000,1660900429218000000,mapclosures,True,4.962964721705579,,,,0.3075342837797235,0.7548147067405895,7,,12,0,True,False,0.04931124565697899,0.15179643214883315
Library 1,Alpha:45,Bob:49,1660900429365000000,1660900432818000000,mapclosures+megaloc,True,0.8615556369746112,,,,0.2810141770176532,0.8084947332653755,15,,13,0,True,False,0.04897509620545671,0.10480364628864115
Library 1,Alpha:46,Bob:46,1660900430265000000,1660900430118000000,mapclosures+megaloc,True,4.9455210112217065,,,,0.3024520602028752,0.7302257829570284,13,,12,0,True,False,0.060617975095227164,0.1869301150983576
Library 1,Alpha:46,Carol:25,1660900430265000000,1660900412827000000,mapclosures,True,28.421280637665227,29.89981355450329,1.4785329168380628,False,0.33973949383479235,0.3856123869171886,8,,2,0,False,,0.20960053831036413,0.6579424366466871
Library 1,Alpha:47,Bob:51,,1660900434618000000,mapclosures+megaloc,True,0.7769776126177498,,,,0.32038263509710874,0.7899752912107306,21,,0,0,False,,,
Library 1,Alpha:47,Bob:52,,1660900435518000000,mapclosures+megaloc,True,0.7472155932335734,,,,0.31237476959866534,0.7820837554880108,18,,0,0,False,,,
Library 1,Alpha:47,Carol:51,,1660900436927000000,mapclosures,True,1.7602563488820908,,,,0.32530923755337876,0.651212162717436,20,,0,0,False,,,
Library 1,Alpha:48,Bob:47,1660900432065000000,,mapclosures,True,6.087708797884658,,,,0.3135092116660971,0.6961110717574556,13,,0,0,False,,,
Library 1,Alpha:49,Bob:54,1660900432965000000,1660900437218000000,mapclosures+megaloc,True,0.6617981766862217,,,,0.3082944075942681,0.791252816960187,22,,12,0,True,False,0.03853794858954844,0.10413630372664354
Library 1,Alpha:49,Carol:46,1660900432965000000,1660900432427000000,mapclosures,True,9.364608174967728,,,,0.34442570745308243,0.5886446072988378,8,,8,0,True,False,0.07059474526570567,0.19799997278526527
Library 1,Alpha:50,Bob:55,,1660900437818000000,mapclosures+megaloc,True,0.6127176802890302,,,,0.31466465512447206,0.7961804968734156,28,,0,0,False,,,
Library 1,Alpha:51,Bob:46,1660900434565000000,1660900430118000000,mapclosures,True,10.139374030287689,,,,0.3411753163796286,0.5782127808988764,6,,8,0,True,False,0.07300456754840648,0.20209057785054496
Library 1,Alpha:51,Carol:52,1660900434565000000,1660900437727000000,mapclosures+megaloc,True,4.914516224515966,,,,0.326558819533464,0.6064922159655515,18,,5,0,True,False,0.07459529477555225,0.1598824841019164
Library 1,Alpha:52,Bob:62,1660900435365000000,1660900442518000000,mapclosures+megaloc,True,3.3674353451304486,3.5405733265615233,0.17313798143107473,False,0.30955004084740123,0.7216059543405139,19,,9,0,True,False,0.025758919438904727,0.04888099165572238
Library 1,Alpha:52,Carol:45,1660900435365000000,1660900431527000000,mapclosures,True,13.265366931778496,,,,0.34126280211292426,0.5666964418639273,8,,4,0,True,False,0.0580599586681243,0.2018210306159592
Library 1,Alpha:53,Bob:58,,1660900439418000000,mapclosures+megaloc,True,1.5074547891445558,,,,0.29943365356146057,0.7874922696351268,30,,0,0,False,,,
Library 1,Alpha:54,Bob:53,1660900436965000000,,mapclosures,True,5.551971475930269,,,,0.32840245653185957,0.7052339474292761,10,,0,0,False,,,
Library 1,Alpha:54,Bob:59,1660900436965000000,1660900440318000000,mapclosures+megaloc,True,1.1829326175566304,,,,0.3135330969155967,0.8078563411896745,26,,9,0,True,False,0.03790846065309996,0.07296512278652338
Library 1,Alpha:55,Bob:61,1660900437665000000,1660900441618000000,mapclosures,True,0.6721212712835013,0.5032619338857476,0.16885933739775372,False,0.3176622243337987,0.7827715355805244,21,,9,0,True,False,0.03377131159008765,0.054694700452464114
